;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;;
line;privilege;isRoleDoctorantSelected;isCorrectionAttendue;isDateButoirDepotVersionCorrigeeDepassee;isDepotVersionCorrigeeValide;isExisteFichierTheseVersionCorrigee;isExisteFichierTheseVersionOriginale;isExisteValidationBU;isExisteValidationCorrectionsThese;isExisteValidationDepotVersionCorrigee;isExisteValidationRdvBu;isExisteValidationVersionPapierCorrigee;isInfosBuSaisies;isTheseSoutenue;isUtilisateurEstAuteurDeLaThese;isUtilisateurExisteParmiValidateursAttendus;isUtilisateurExisteParmiValidateursAyantValide;return;message
1;ThesePrivileges::THESE_SAISIE_CONFORMITE_VERSION_ARCHIVAGE_INITIALE;;;;;;;1:1;;;;;;;;;;0;Opération impossible dès lors que la BU a validé.
2;ThesePrivileges::THESE_SAISIE_CONFORMITE_VERSION_ARCHIVAGE_INITIALE;;;;;;;1:0;;;;;;;;;;1;
3;ThesePrivileges::THESE_DEPOT_VERSION_CORRIGEE;;1:1;;;;;;;;;;;;;;;0;Aucune correction n'est attendue pour cette thèse
4;ThesePrivileges::THESE_DEPOT_VERSION_CORRIGEE;;;;;;;;1:1;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé par au moins un directeur.
5;ThesePrivileges::THESE_DEPOT_VERSION_CORRIGEE;;;1:1;;;;;;;;;;;;;;0;La date butoir pour le dépôt de la version corrigée est dépassée (%s).
6;ThesePrivileges::THESE_DEPOT_VERSION_CORRIGEE;;1:0;3:0;;;;;2:0;;;;;;;;;1;
7;ThesePrivileges::THESE_SAISIE_CONFORMITE_VERSION_ARCHIVAGE_CORRIGEE;;;;1:1;;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
8;ThesePrivileges::THESE_SAISIE_CONFORMITE_VERSION_ARCHIVAGE_CORRIGEE;;;;1:0;;;;;;;;;;;;;1;
9;ThesePrivileges::THESE_SAISIE_RDV_BU;;;;;;;1:1;;;;;;;;;;0;La validation par la BU a été faite.
10;ThesePrivileges::THESE_SAISIE_RDV_BU;;;;;;;1:0;;;;;;;;;;1;
11;ValidationPrivileges::THESE_VALIDATION_RDV_BU;;;;;;;1:1;;;;;;;;;;0;La validation par la BU a été faite.
12;ValidationPrivileges::THESE_VALIDATION_RDV_BU;;;;;;;;;;;;1:0;;;;;0;La BU n'a pas renseigné toutes informations requises.
13;ValidationPrivileges::THESE_VALIDATION_RDV_BU;;;;;;;1:0;;;;;2:1;;;;;1;
14;ValidationPrivileges::THESE_VALIDATION_RDV_BU_SUPPR;;;;;;;;;;1:0;;;;;;;0;
15;ValidationPrivileges::THESE_VALIDATION_RDV_BU_SUPPR;;;;;1:1;;;;;2:1;;;;;;;0;
16;ValidationPrivileges::THESE_VALIDATION_RDV_BU_SUPPR;;;;;1:0;;;;;2:1;;;;;;;1;
17;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE;;1:0;;;;;;;;;;;;;;;0;Aucune correction n'est attendue pour cette thèse.
18;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE;;;;1:1;;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
19;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE;;;1:1;;;;;;;;;;;;;;0;La date butoir pour le dépôt de la version corrigée est dépassée (%s).
20;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE;;1:1;3:0;2:0;;;;;;;;;;;;;1;
21;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE_SUPPR;;;;;;;;1:1;;;;;;;;;0;
22;ValidationPrivileges::VALIDATION_DEPOT_THESE_CORRIGEE_SUPPR;;;;;;;;1:0;;;;;;;;;1;
23;ValidationPrivileges::VALIDATION_CORRECTION_THESE;;;;;;;;;1:0;;;;;;;;0;Le dépôt de la version corrigée n'a pas encore été validé par le doctorant.
24;ValidationPrivileges::VALIDATION_CORRECTION_THESE;;;;;;;;;;;;;;;1:0;;0;
25;ValidationPrivileges::VALIDATION_CORRECTION_THESE;;;;;;;;;1:1;;;;;;2:1;;1;
26;ValidationPrivileges::VALIDATION_CORRECTION_THESE_SUPPR;;;;;;;;;;;;;;;;1:0;0;
27;ValidationPrivileges::VALIDATION_CORRECTION_THESE_SUPPR;;;;;;;;;;;;;;;;1:1;1;
28;ValidationPrivileges::VALIDATION_VERSION_PAPIER_CORRIGEE;;;;;;;;;;;1:1;;;;;;0;
29;ValidationPrivileges::VALIDATION_VERSION_PAPIER_CORRIGEE;;;;;;;;;;;1:0;;;;;;1;
30;*;1:1;;;;;;;;;;;;;2:0;;;0;Cette thèse n'est pas la vôtre.
31;ThesePrivileges::THESE_SAISIE_DESCRIPTION;1:1;;;3:1;2:1;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
32;ThesePrivileges::THESE_SAISIE_DESCRIPTION;1:1;;;;2:0;;3:1;;;;;;;;;;0;Opération impossible dès lors que la BU a validé.
33;ThesePrivileges::THESE_SAISIE_DESCRIPTION;1:1;;;3:0;2:1;;;;;;;;;;;;1;
34;ThesePrivileges::THESE_SAISIE_DESCRIPTION;1:1;;;;2:0;;3:0;;;;;;;;;;1;
35;ThesePrivileges::THESE_SAISIE_ATTESTATIONS;;;;;;1:0;;;;;;;;;;;0;Le dépôt d'une version initiale doit être fait au préalable.
36;ThesePrivileges::THESE_SAISIE_ATTESTATIONS;1:1;;;3:1;2:1;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
37;ThesePrivileges::THESE_SAISIE_ATTESTATIONS;1:1;;;;2:0;;3:1;;;;;;;;;;0;Opération impossible dès lors que la BU a validé.
38;ThesePrivileges::THESE_SAISIE_ATTESTATIONS;1:1;;;3:0;2:1;;;;;;;;;;;;1;
39;ThesePrivileges::THESE_SAISIE_ATTESTATIONS;1:1;;;;2:0;;3:0;;;;;;;;;;1;
40;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;3:1;2:1;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
41;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;;2:0;;3:1;;;;;;;;;;0;Opération impossible dès lors que la BU a validé.
42;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;3:0;2:1;;;;;;;;;;;;1;
43;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;;2:0;;3:0;;;;;;;;;;1;
44;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;3:1;2:1;;;;;;;;;;;;0;Opération impossible dès lors que le dépôt de la version corrigée a été validé.
45;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;;2:0;;3:1;;;;;;;;;;0;Opération impossible dès lors que la BU a validé.
46;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;3:0;2:1;;;;;;;;;;;;1;
47;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;;2:0;;3:0;;;;;;;;;;1;
48;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;;2:1;;;;;;;;;;;;0;Aucune version corrigée n'a été fournie.
49;ThesePrivileges::THESE_SAISIE_AUTORISATION_DIFFUSION;1:1;;;;2:0;;;;;;;;;;;;1;
50;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;;;;;;;;;;2:1;;;;0;Le dépôt initial n'est plus autorisé car la date de soutenance est passée.
51;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;1:1;;;;;;;;;;;;2:0;;;;1;
52;ThesePrivileges::THESE_DEPOT_VERSION_INITIALE;;1:1;;;;;;;;;;;;;;;0;Le dépôt d'une version initiale n'est plus possible dès lors qu'une version corrigée est attendue.
